Input Data,,,,,,Failure prediction,,
Project Id,total_duration,actual_prize,num_open_tasks,avg_similarity,task_failure_probability,today,tomorrow,day after tomorrow
30039141,5.003472222,0,25,0.888805372,0.25,0.859244658,0.739590102,0.999383147
30039147,5.003472222,500,17,0.858104303,0.833333333,0.83191353,0.7162121,0.807265164
30039148,5.003472222,1150,25,0.849120654,0.95,0.82511167,0.741835925,0.863896487
30039149,5.003472222,2100,19,0.713228548,0.75,0.883093996,0.937426236,0.797686803
30039300,5.003472222,2100,19,0.73860051,0.909090909,0.852109674,0.823938908,0.893963963
30039303,2.006944444,900,27,0.862298286,0.8,0.84390492,0.87124768,0.775094006
30039304,5.003472222,1120,30,0.940185215,0.666666667,0.795650545,0.933640026,0.884065767
30039306,2.999305556,690,86,0.898268477,1,0.789497939,0.788940993,0.852608879
30039307,3.003472222,900,27,0.865449815,0.741935484,0.951307016,0.799806486,0.768985493
30039308,5.003472222,2100,17,0.792758875,0.6,0.810585356,0.85004631,0.899167517
30039310,5.003472222,760,19,0.695387973,0.75,0.811626066,0.876800343,0.87374698
30039311,1.247222222,300,19,0.870769513,0.3,0.799478952,0.775212554,0.849679696
30039312,11.17986111,0,20,0.966097988,0.857142857,0.736177644,0.737668853,0.79611794
30039313,3.003472222,750,19,0.942114478,0.5,0.930189612,0.835392537,0.954361357
30039315,5.003472222,2100,17,0.670744223,0.5,0.872285558,0.795502054,0.815266617
30039317,5.988888889,300,19,0.723060358,0.944444444,0.777742937,0.785669572,0.871570181
30039321,5,1500,85,0.799280799,0.772727273,0.742630838,0.761770378,0.734252447
30039324,4.84375,500,17,0.85714696,0.705882353,0.910224673,0.818548176,0.994178365
30039325,6.003472222,1600,19,0.779278629,0.5,0.772558582,0.78324794,0.838156224
30039326,5.003472222,900,17,0.933182937,0.5,0.756018747,0.839969505,0.868993105
30039328,5.003472222,900,20,0.669401151,0.5,0.784169642,0.842694961,0.827497658
30039329,11.04513889,2050,30,0.801288653,0.944444444,0.905926279,0.925654378,0.900892679
30039330,11.04513889,1650,30,0.797589662,0.826086957,0.965306865,0.805463393,0.776126469
30039331,0.924305556,250,34,0.946950265,0.894736842,0.957053397,0.791108366,0.840295621
30039332,0.35625,350,20,0.907041612,0.333333333,0.734309228,0.854723836,0.855935832
